id,text
1697,'@berggruenInst: Berggruen Institute member @dambisamoyo on the problems with #US #infrastructure @ProSyn http://t.co/T96O158Yxv'
1704,Australia collapse at Trent Bridge how Twitter . On the first morning of the fourth Ashes Test... http://t.co/WAtjhzULa8
1708,Shane Warne and Ricky Ponting shocked by Australia batting collapse at Trent Bridge http://t.co/b5zPfW7Vo0
1711,2 Injured 1 missing in bridge collapse in central Mexico http://t.co/scDa8eVwR6
1713,Australia's Ashes disaster - how the collapse unfolded at Trent Bridge http://t.co/UqEtEeltVU #telegraph
1714,#Sport - Shane Warne and Ricky Ponting shocked by Australia batting collapse at Trent Bridge Australian grea... http://t.co/c41iUMknis
1717,5 injured in bridge collapse at Swiss kosher hotel: The accident occurred on Tuesday at the Metropol Hotel a ... http://t.co/sIGeZlynJ9
1729,a very scary thought is if 9/11 had happened today their would be teenagers taking selfies in front of the burning buildings
1730,THIS SOUNDS LIKE A SONG YOU WOULD HEAR IN A MOVIE WHERE THEY ARE WALKING AWAY FROM BURNING BUILDINGS AND CARS AND SHIT
1732,@CTVKathyLe and in other news: don't run into burning buildings
1734,forestservice : RT dhsscitech: #Firefighters run into burning buildings™?š?š?we work on #tech t™?š?_ http://t.co/KybQcSvrZa) http://t.co/Ih49kyMsMp
1736,this is like when folks said ™?š?š?burning down buildings doesn™?š?™?t work™?š?™?™?š?_only™?š?_it did. now cities trying to get information out ASAP to prevent it
1738,Like how are ppl not burning these buildings down knowing why it was originally created?
1742,kou is like [CASH REGISTER] [BUILDINGS BURNING]
1743,@chistate33 @thehill What hate crimes? It's the looney libs that are always burning down buildings and vandalzing private property
1746,3 rules for a long life.  #1™?š?š?Don™?š?™?t go in burning buildings! #2™?š?š?Don™?š?™?t jump out of perfectly good airplanes! #3™?š?š?Don™?š?™?t awaken sleeping giants!
1748,Port Coquitlam fire burning several businesses http://t.co/Q5FzYLBvTk
1749,@speechgirlAM On par with caring for the sick helping people move not talking during movies rescuing people from burning buildings...
1751,@TravDave @Kornbread_ICU especially where it happened. Really nothing to tear up. Burning the buildings saves the city money for real
1758,The fire brigade should play this guys music at burning buildings to put the flames out
1764,Two buildings burn in 3-alarm Antioch fire: Two buildings are burning in a 3-alarm fire at the Delta Pines™?š?_ http://t.co/GQgF2ygpX2
1765,.@denisleary Not sure how these folks rush into burning buildings but I'm grateful they do. #TrueHeroes
1777,"Jane Kelsey on the FIRE Economy
5th Aug 5:30™?š?š?7:30pm
Old Govt Buildings Wgton
The context &amp; the driver for #TPP and #TRADEinSERVICESAgreement"
1778,'Failure doesn™?š?™?t exist. It™?š?™?s only a change of direction' - Alejandro Jodorowsky (via buildings-on-fire) http://t.co/ByMVemW4xF
1781,I'm security so they want me to help out in case of emergency like the buildings on fire or a shooter's in the building. I'm leaving tho..
1782,@blainescronuts thats what i would do if there were buildings on fire
1783,fucking apartments across the street are on fire right now. 5 fuckin firetrucks wtf. this is the second time those buildings caught on fire
1785,It's a testimony to the human spirit that more of us don't set fire to our office buildings on Sunday night.
1788,"There are multiple buildings on fire In Downtown Hinton OK.
The fire is threatening to level the entire block! #8NN https://t.co/pEVtSf7Cyt"
1793,"#DNR
Res. buildings shelled &amp; on fire in #Gorlovka tonight.
Civilian casualties Jan-July 2015:™?š?š?
164 killed (incl. 16 children)
501 wounded"
1794,@gilsimmons lightening struck &amp; 2 units in 1 of our buildings in our development on fire. Groton CT. Check out my FB wall most recent post
1795,"#Taiz
#Houthi #Saleh indiscriminate shelling from castle sets Tahreer st buildings on fire
#Yemen http://t.co/qsli2ivIoG"
1797,Buildings on fire behind Tisa's in Niceville @tristapnwfdn https://t.co/ACl1baBacR
1800,Two buildings involved in fire on 2nd Street in #Manchester. @WMUR9 #wmur http://t.co/bCEUGsoi2r
1801,"Agricultural Buildings on Fire - Aldwark - NYorks Fire &amp; Rescue Service 

Still grim news but fewer piglets caught up http://t.co/0kjCWG6pN9"
1805,Multiple firefighters hospitalized after fighting a fire Manchester NH. #7News http://t.co/X1oYU5Y6bI
1806,"There are multiple buildings on fire In Downtown Hinton OK.
The fire is threatening to level the entire block! #8NN https://t.co/GXDKLhxU22"
1819,"My Happy Pensioner Stories
Safe Buildings: watching a report on unsafe cladding catching fire in Melbourne same... http://t.co/cnoxJB8XoQ"
1820,Multiple houses/buildings on fire in Kalispell http://t.co/1iyThVshgF
1825,Family heartbroken.Mobile home at Nellis &amp; Cheyenne burned in fire. Kids were all ready to go back 2 school @News3LV http://t.co/VAf1RAiYQb
1828,I burned 3 of my fingers!! http://t.co/Gs2W38CSJn
1829,This is why you should be burned at the stake ! https://t.co/YpezipY2NY
1830,Let me tell you Brandace brought it today at #NTC! Heat and all...we survived! Burned over 500™?š?_ https://t.co/ILfd6wcGqg
1839,@IrSolichin @9Tawan99 @178kakapo @POTUS The last 2 of 68 cities where everyone was burned to death. Terrorism on the grandest of scales
1843,@Kyra_Elizabethh my back break light is burned out so I gotta show them in the next 10 days ??
1844,@realDonaldTrump @Shelia1965A Been burned by Republicans so many times at least you are talking about things important to us. Good luck
1846,burned 163 calories doing 30 minutes of Total Body Cardio #21dayfix #myfitnesspal
1849,Corey White talking all dat shit but he got burned more than curlin irons on black women necks
1850,@BlackHatWriter Yeah I'm going to be at home by a computer for the next two weekends. :( Getting really burned out really quick.
1854,@alfred00dle @PDLeague I'm sorry about that crit not 100% sure if it matter prob cuz I was burned
1855,"I got more rhymes than the Bible's got psalms
And just like the Prodigal Son I've returned
Anyone stepping to me you'll get burned
??"
1858,@widouglass @kurrrlyW @AdamRubinESPN @Nationals Welp that dunce got burned here
1859,OMG so last week i accidentally burned myself with a cigarette lol only i would do that
1862,@AdamRubinESPN I know we have been burned just a week ago in a similar spot but getting @MattHarvey33 out o just 88 pitches save some inn
1867,"so keep calling me crazy
cause I never learned
you should stop loving fire
because you got burned™?š?_ https://t.co/ZsAEGjQq1z"
1868,I'm proud of my heart it's been played stabbed cheated burned and broken. But somehow still works
1871,hermancranston: WIRED : All these fires are burning through firefighters' budgets http://t.co/FSGAnfRgjH http://t.co/ju9zzu9TiO™?š?_ ™?š?_
1872,PSA- I chopped 3 #jalapenos &amp; my fingers were burning-lava-on-fire painful for 5+ hrs. This is a first! Wear gloves! #peppers from #hell.
1874,Geoengineering and burning of fossil fuels is making our global weather unstable. With temps up to 165š?™? and biggest flood in past 200 years
1876,@sar_giuliani I'm currently burning my skin off??
1879,@JanelleBrown117 YES! We are comrades in sweat-seeking calorie-burning cardio-torture! We need all the support we can get- smile nod wave
1884,WoW Legion ™?š?š? Slouching Towards The Broken Isles: Warlords of Draenor wasn™?š?™?t close enough to The Burning Crusad... http://t.co/RKpmoMQMUi
1891,@TheVenskus you led a killer workout today @TheSweatShoppe my core is burning. Now #gymtime #worktime #auditiontime #roccotime #noBS
1894,Peddle to the floorboard.. End up in a four door. Burning up a backroad song... Park it and we pile out™?š?_ Baby watch your step now™?š?_
1896,Burning bridges is my forte!
1902,RT: A real burn book entry about CA: why the fuck is this place always BURNING
1903,fear the fever Can you feel it now? I feel the fire Burning belo-ooow It's gonna trick ya Swallow you who-ooo-ole #MTVHottest Justin Bieber
1904,the Burning Legion has returned
1906,The Arab autocracies: Burning down their house http://t.co/xcjRamGQ22 via @TheEconomist
1907,@TarekFatah you are burning in enemity of Pakistan .i m sure you will burn more and more
1912,@8goingon80 I put on a ton of sunscreen and I'm still burning :/
1913,Blizzard details new Dungeons and Raids in World of Warcraft: Legion: The Burning Legion™?š?_ http://t.co/8IBAT5LOQN
1923,'What is this accomplishing?! Burning is killing the buildings!' #TI5Quotes #TI5
1926,15 Amp is common 120V breaker trip threshold to protect 14 AWG wire (commonly used in buildings) from burning. 1800W power outlets results..
1928,"Burning Buildings.

Keep The Flames Lit. ??????"
1930,Three-alarm fire burning in Antioch apartment complex. @kron4news http://t.co/IH7cTORGRH
1931,@RockBottomRadFM Is one of the challenges on Tough Enough rescuing people from burning buildings?
1934,@mrjamesob U're not getting rid me until every last drop of life has gone... I crawl into burning buildings because all Life matters. Jakey
1936,Firefighters are some brave people in my opinion bc I clare I don't know I could save ppl from burning buildings and houses I salute them ???
1944,The Rocky Fire burning in CA still threatening more than 7k buildings. Largest in state &amp; one of nearly 2 dozen burning now #9newsmornings
1946,I liked a @YouTube video http://t.co/EYma5CRlHk Mega Man ZX OST - T17: Ogre Claw (Area G - Burning Buildings)
1947,.@denisleary Not sure how these folks rush into burning buildings but I'm grateful they do. #TrueHeroes
1958,@Trubeque Destruction magic's fine just don't go burning any buildings.
1964,? High Skies - Burning Buildings ? http://t.co/uVq41i3Kx2 #nowplaying
1970,What if we used drones to help firefighters lead people out of burning buildings/ help put the fire out?
1974,'When you attack PP you attack women's health &amp; when you attack women's health you attack America's health.' http://t.co/HXdG24MCQg
1977,Soaring temperature's in some southern US states causing bush fires pity @scotgov only allow rain in Scotland. #TweetLikeKez
1978,You know it's hot when there are bush fires right near your villa ????
1982,Bushfire causes first victim in Albania ::  The multiple fires in Albania have caused the first vict http://t.co/yuba6XmBlq #Bush
1984,Drove past the field on fire yesterday. Reminded me of the bush fires we used to get in South Africa. http://t.co/SN3dHuYnFe
1988,Bush #food fires: http://t.co/Q1Y8lm7us9 http://t.co/TofLxOdyrX
